Vaccine,Geography Type,Geography,FIPS,Season/Survey Year,Month,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,1,Age,18-49 Years at High Risk,35.6,26.6 to 44.6,205
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,11,Age,18-64 Years,26.8,24.6 to 29.0,2805
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,12,Age,18-64 Years,29.9,27.5 to 32.3,2805
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,1,Age,18-64 Years,31.7,29.3 to 34.1,2805
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,2,Age,18-64 Years,33.1,30.6 to 35.6,2805
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,3,Age,18-64 Years,33.9,31.4 to 36.4,2805
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,4,Age,18-64 Years,33.9,31.4 to 36.4,2805
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,7,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR †,NR †,693
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,8,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR †,NR †,693
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,9,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",9.8,6.7 to 12.9,693
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,10,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",25.9,20.9 to 30.9,693
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,5,Race and Ethnicity,"White, Non-Hispanic",56.0,52.4 to 59.6,4324
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,4,Race and Ethnicity,"White, Non-Hispanic",54.1,51.2 to 57.0,4324
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,11,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",36.1,29.8 to 42.4,693
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,9,Age,50-64 Years,8.1,5.6 to 10.6,584
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,10,Age,50-64 Years,32.2,27.1 to 37.3,584
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,11,Age,50-64 Years,44.0,38.5 to 49.5,584
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,5,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",43.9,33.7 to 54.1 ‡,676
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,8,Age,18-64 Years,1.2,0.8 to 1.6,2805
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,9,Age,18-64 Years,5.7,4.7 to 6.7,2805
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,10,Age,18-64 Years,19.5,17.5 to 21.5,2805
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,12,Age,18-64 Years not at High Risk,28.9,25.6 to 32.2,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,1,Age,18-64 Years not at High Risk,30.8,27.5 to 34.1,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,2,Age,18-64 Years not at High Risk,31.9,28.4 to 35.4,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,3,Age,18-64 Years not at High Risk,31.9,28.4 to 35.4,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,4,Age,18-64 Years not at High Risk,32.4,28.9 to 35.9,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,5,Age,18-64 Years not at High Risk,32.4,28.9 to 35.9,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,7,Age,18-64 Years not at High Risk,NR †,NR †,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,4,Race and Ethnicity,"Black, Non-Hispanic",39.5,34.6 to 44.4,1023
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,3,Race and Ethnicity,"Black, Non-Hispanic",39.5,34.6 to 44.4,1023
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,5,Race and Ethnicity,"Black, Non-Hispanic",39.5,34.6 to 44.4,1023
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,7,Race and Ethnicity,"Black, Non-Hispanic",NR †,NR †,763
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,8,Race and Ethnicity,"Black, Non-Hispanic",3.9,2.5 to 5.3,763
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,9,Race and Ethnicity,"Black, Non-Hispanic",10.4,7.7 to 13.1,763
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,2,Age,18-49 Years at High Risk,36.6,27.6 to 45.6,205
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,3,Age,18-49 Years at High Risk,40.1,29.7 to 50.5 ‡,205
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,4,Age,18-49 Years at High Risk,40.1,29.7 to 50.5 ‡,205
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,5,Age,18-49 Years at High Risk,40.1,29.7 to 50.5 ‡,205
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,9,Age,18-49 Years at High Risk,NR †,NR †,141
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,7,Age,18-64 Years,NR †,NR †,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,10,Age,18-49 Years at High Risk,19.3,11.1 to 27.5,141
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,8,Age,18-64 Years,1.4,0.8 to 2.0,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,9,Age,18-64 Years,6.1,4.9 to 7.3,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,10,Age,18-64 Years,19.0,17.0 to 21.0,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,11,Age,18-64 Years,27.2,24.5 to 29.9,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,5,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",44.6,37.7 to 51.5,693
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,4,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",44.4,37.5 to 51.3,693
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,4,Age,50-64 Years,55.9,50.2 to 61.6,584
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,5,Age,50-64 Years,55.9,50.2 to 61.6,584
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,3,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",44.4,37.5 to 51.3,693
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,2,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",44.4,37.5 to 51.3,693
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",43.1,36.2 to 50.0,693
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,12,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",39.6,33.0 to 46.2,693
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,5,Age,18-64 Years,33.9,31.4 to 36.4,2805
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,2,Age,50-64 Years,53.8,48.1 to 59.5,584
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,3,Age,50-64 Years,55.4,49.7 to 61.1,584
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,1,Age,50-64 Years,49.9,44.2 to 55.6,584
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,12,Age,50-64 Years,46.7,41.2 to 52.2,584
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,3,Age,>=65 Years,63.9,55.5 to 72.3,1530
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,7,Age,50-64 Years,NR †,NR †,584
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,8,Age,50-64 Years,NR †,NR †,584
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,12,Race and Ethnicity,"Black, Non-Hispanic",35.2,29.5 to 40.9,1016
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,11,Race and Ethnicity,"Black, Non-Hispanic",31.5,26.1 to 36.9,1016
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,1,Race and Ethnicity,"Black, Non-Hispanic",37.1,31.4 to 42.8,1016
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,12,Age,18-64 Years,25.3,23.3 to 27.3,2839
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,Age,18-64 Years,27.2,25.2 to 29.2,2839
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,2,Age,18-64 Years,28.0,25.8 to 30.2,2839
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,3,Age,18-64 Years,28.4,26.2 to 30.6,2839
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,4,Age,18-64 Years,28.8,26.6 to 31.0,2839
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,5,Age,18-64 Years,28.8,26.6 to 31.0,2839
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,8,Age,18-49 Years at High Risk,NR †,NR †,282
